Complaint_ID,Complaint_Date,Resolved_Date,Zone,Category,Department,Priority,Priority_Score,Status,Resolution_Delay_Days,Citizen_Satisfaction_Score,Month,Quarter,Week
CMP00001,2024-11-23,2024-12-04,East Zone,Drainage Problem,Drainage Dept,Medium,2,Resolved,11.0,3.4,November,Q4,47
CMP00002,2024-02-27,,Central Zone,Water Supply,Water Supply Dept,Medium,2,In Progress,,1.9,February,Q1,9
CMP00003,2024-01-13,2024-01-29,Industrial Zone,Garbage Collection,Sanitation Dept,Low,1,Resolved,16.0,2.0,January,Q1,2
CMP00004,2024-05-20,2024-05-29,North Zone,Water Supply,Water Supply Dept,Medium,2,Resolved,9.0,2.7,May,Q2,21
CMP00005,2024-05-05,2024-05-06,Central Zone,Traffic Congestion,Traffic Management Dept,High,3,Resolved,1.0,4.9,May,Q2,18
CMP00006,2024-04-24,2024-04-28,East Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Resolved,4.0,3.3,April,Q2,17
CMP00007,2024-03-12,2024-03-17,South-West Zone,Garbage Collection,Sanitation Dept,Medium,2,Resolved,5.0,3.3,March,Q1,11
CMP00008,2024-02-22,,Central Zone,Drainage Problem,Drainage Dept,Low,1,Pending,,1.7,February,Q1,8
CMP00009,2024-12-12,2024-12-27,North-East Zone,Street Light Failure,Electricity Dept,Low,1,Resolved,15.0,2.5,December,Q4,50
CMP00010,2024-10-06,,East Zone,Street Light Failure,Electricity Dept,Low,1,Pending,,1.3,October,Q4,40
CMP00011,2024-02-14,,East Zone,Traffic Congestion,Traffic Management Dept,Low,1,In Progress,,1.7,February,Q1,7
CMP00012,2024-10-29,2024-11-07,South-West Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Resolved,9.0,1.8,October,Q4,44
CMP00013,2024-08-04,2024-08-09,East Zone,Drainage Problem,Drainage Dept,Medium,2,Resolved,5.0,4.0,August,Q3,31
CMP00014,2024-01-17,2024-01-20,Central Zone,Road Damage,Public Works Dept,High,3,Resolved,3.0,4.1,January,Q1,3
CMP00015,2024-01-16,2024-01-18,West Zone,Garbage Collection,Sanitation Dept,High,3,Resolved,2.0,4.5,January,Q1,3
CMP00016,2024-02-17,2024-02-24,North-East Zone,Road Damage,Public Works Dept,Low,1,Resolved,7.0,4.1,February,Q1,7
CMP00017,2024-04-21,,South Zone,Street Light Failure,Electricity Dept,Medium,2,In Progress,,1.3,April,Q2,16
